date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:55%20GMT	http://www.mscepune.in/gccsec/Binding%20Qoutation.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/Binding%20Qoutation.49.delayed	(from https://www.mscepune.in/)
00:22:59	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:57%20GMT	http://www.mscepune.in/gccsec/AC%20and%20Water%20Cooler%2004.05.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/AC%20and%20Water%20Cooler%2004.05.2022.4a.delayed	(from https://www.mscepune.in/)
00:23:01	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:52:59%20GMT	http://www.mscepune.in/gccsec/MH12UC%202761%20ACCESSORIES.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/MH12UC%202761%20ACCESSORIES.4b.delayed	(from https://www.mscepune.in/)
00:23:03	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:01%20GMT	http://www.mscepune.in/gccsec/Nutbolt%2004.05.22.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/Nutbolt%2004.05.22.4c.delayed	(from https://www.mscepune.in/)
00:23:05	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:03%20GMT	http://www.mscepune.in/gccsec/epbx%2020.04.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/epbx%2020.04.2022.4d.delayed	(from https://www.mscepune.in/)
00:23:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:05%20GMT	http://www.mscepune.in/gccsec/NEW%20CCTV%2020.04.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/NEW%20CCTV%2020.04.2022.4e.delayed	(from https://www.mscepune.in/)
00:23:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:07%20GMT	http://www.mscepune.in/gccsec/NEW%20VRUSH%20CHATANI%2020.04.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/NEW%20VRUSH%20CHATANI%2020.04.2022.4f.delayed	(from https://www.mscepune.in/)
00:23:11	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:09%20GMT	http://www.mscepune.in/gccsec/XEROX%20MACHINE%20SUTE%20BHAG18.04.2022.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/XEROX%20MACHINE%20SUTE%20BHAG18.04.2022.50.delayed	(from https://www.mscepune.in/)
00:23:13	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:11%20GMT	http://www.mscepune.in/gccsec/SERVER%20RENTAL%2018.4.2022%20(2).pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/SERVER%20RENTAL%2018.4.2022%20(2).51.delayed	(from https://www.mscepune.in/)
00:23:15	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:53:13%20GMT	http://www.mscepune.in/gccsec/DocScanner%20Apr%2018,%202022%2012-58%20PM.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/DocScanner%20Apr%2018,%202022%2012-58%20PM.52.delayed	(from https://www.mscepune.in/)
